Country,2014 population growth rate,2014 crude death rate,Recruitment rate,2015 population ages 15–49
Global,,,,"3,455,324,000"
Afghanistan,0.030335,0.00823,0.038565,"15,432,000"
Algeria,0.019404,0.005125,0.024529,"21,543,000"
Angola,0.032696,0.01372,0.046416,"11,040,000"
Argentina,0.010331,0.007566,0.017897,"21,695,000"
Armenia,0.004655,0.00919,0.013845,"1,517,000"
Australia,0.015144,0.0065,0.021644,"11,448,000"
Austria,0.007815827636,0.0092,0.01701582764,"4,000,000"
Azerbaijan,0.012482,0.0058,0.018282,"5,293,000"
Bahamas,0.013702,0.006156,0.019858,"209,000"
Bangladesh,0.012144,0.005401,0.017545,"90,037,000"
Barbados,0.0031,0.010576,0.013676,"132,000"
Belarus,0.000422,0.0128,0.013222,"4,528,000"
Belgium,0.004318,0.0093,0.013618,"5,074,000"
Belize,0.021593,0.005559,0.027152,"195,000"
Benin,0.026411,0.009361,0.035772,"5,220,000"
Bhutan,0.013649,0.00623,0.019879,"455,000"
Bolivia (Plurinational State of),0.015453,0.007428,0.022881,"5,514,000"
Botswana,0.019756,0.007462,0.027218,"1,267,000"
Brazil,0.008864,0.006116,0.01498,"113,000,000"
Bulgaria,-0.005683892641,0.0151,0.009416107359,"3,243,000"
Burkina Faso,0.02911,0.00956,0.03867,"8,358,000"
Burundi,0.032978,0.011313,0.044291,"5,143,000"
Cambodia,0.016416,0.006127,0.022543,"8,425,000"
Cameroon,0.024981,0.011462,0.036443,"11,210,000"
Canada,0.010981,0.0074,0.018381,"16,710,000"
Cape Verde,0.013021,0.005411,0.018432,"293,000"
Central African Republic,0.019683,0.014532,0.034215,"2,434,000"
Chad,0.033016,0.014065,0.047081,"6,207,000"
Chile,0.010573,0.005118,0.015691,"9,318,000"
China,0.005063,0.0072,0.012263,"749,000,000"
Colombia,0.009440042178,0.005872,0.01531204218,"26,198,000"
Congo,0.024863,0.008569,0.033432,"2,157,000"
Costa Rica,0.010814,0.004829,0.015643,"2,577,000"
Cuba,0.00146,0.007811,0.009271,"5,635,000"
Côte d'Ivoire,0.024424,0.013548,0.037972,"10,756,000"
Democratic Republic of the Congo,0.031532,0.010314,0.041846,"34,551,000"
Denmark,0.004194,0.0091,0.013294,"2,561,000"
Djibouti,0.013351,0.008606,0.021957,"481,000"
Dominican Republic,0.01204,0.006065,0.018105,"5,441,000"
Ecuador,0.015309,0.005131,0.02044,"8,479,000"
Egypt,0.022189,0.006129,0.028318,"46,824,000"
El Salvador,0.002962,0.00679,0.009752,"3,248,000"
Equatorial Guinea,0.029425,0.010764,0.040189,"401,000"
Eritrea,0.022084,0.006598,0.028682,"2,541,000"
Estonia,-0.00262,0.0118,0.00918,"587,000"
Ethiopia,0.025068,0.007411,0.032479,"48,198,000"
France,0.00442,0.0084,0.01282,"28,761,000"
Gabon,0.022363,0.008626,0.030989,"859,000"
Gambia,0.03232,0.008729,0.041049,"911,000"
Georgia,-0.01306,0.011517,-0.001543,"1,839,000"
Ghana,0.023501,0.008948,0.032449,"13,730,000"
Greece,-0.00875,0.0105,0.00175,"4,875,000"
Guatemala,0.020483,0.00537,0.025853,"8,309,000"
Guinea,0.026983,0.009944,0.036927,"5,909,000"
Guyana,0.003751,0.008137,0.011888,"394,000"
Haiti,0.013406,0.008717,0.022123,"5,626,000"
Honduras,0.014246,0.005011,0.019257,"4,400,000"
India,0.012267,0.007339,0.019606,"702,000,000"
