Eastern and Southern Africa,Western and Central Africa,Middle East and North Africa,Asia Pacific,Eastern Europe and Central Asia,Western Europe,Northern America,Caribbean,Latin America
Angola,Benin,Afghanistan,Australia,Belarus,Austria,Canada,Bahamas,Argentina
Botswana,Burkina Faso,Algeria,Bangladesh,Bulgaria,Belgium,United States of America,Barbados,Bolivia (Plurinational State of)
Burundi,Cameroon,Egypt,Bhutan,Kazakhstan,Denmark,,Cuba,Brazil
Eritrea,Cape Verde,Iran (Islamic Republic of),Cambodia,Kyrgystan,Estonia,,Dominican Republic,Chile
Ethiopia,Central African Republic,Lebanon,China,Republic of Moldova,France,,Haiti,Colombia
Kenya,Côte d'Ivoire,Morocco,India,Russian Federation,Greece,,Jamaica,Costa Rica
Lesotho,Democratic Republic of Congo,Sudan,Indonesia,Tajikistan,Italy,,Saint Lucia,Ecuador
Madagascar,Equatorial Guinea,Tunisa,Lao People's Democratic Republic,Ukraine,Spain,,Trinidad and Tobago,El Salvador
Malawi,Gabon,Yemen,Malaysia,Uzbekistan,Sweden,,,Guatemala
Mozambique,Gambia,,Mongolia,,Switzerland,,,Haiti
Namibia,Ghana,,Mynamar,,United Kingdom of Great Britain and Northern Ireland,,,Honduras
Rwanda,Guinea,,Nepal,,,,,Mexico
Somalia,Liberia,,New Zealand,,,,,Nicaragua
South Africa,Mali,,Papua New Guinea,,,,,Panama
South Sudan,Mauritania,,Philippines,,,,,Paraguay
Swaziland,Niger,,Sri Lanka,,,,,Peru
Uganda,Nigeria,,Thailand,,,,,Uruguay
Zambia,Senegal,,Timor-Leste,,,,,Venezuela (Bolivarian Republic of)
Zimbabwe,Sierra Leone,,Viet Nam,,,,,
,Republic of Congo,,,,,,,
,Togo,,,,,,,
