Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,References,,,
Afghanistan,0.007727,0.009451,0.010412,0.011534,0.012896,0.014197,0.014322,0.014878,0.016082,0.017466,0.018352,0.018673,0.019862,0.020341,0.021503,0.022844,0.024613,0.026803,0.028282,0.030417,0.032479,0.032908,0.034366,0.035215,0.035941,,http://www.unaids.org/sites/default/files/country/documents/AFG_narrative_report_2014.pdf ,Estimated PLHIV (total) / Population (total),,
Algeria,,,,,0.007879,0.008293,0.009361,0.01035,0.011271,0.012749,0.013567,0.014907,0.016768,0.018019,0.019761,0.021438,0.023093,0.025727,0.028308,0.03036,0.032886,0.034957,0.036521,0.038089,0.039217,0.03992,http://aidsinfo.unaids.org/,PLHIV 15+ / population 15-49,,
Angola,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.9,2,2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,http://aidsinfo.unaids.org/,,,
Argentina,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,http://aidsinfo.unaids.org/,,,
Armenia,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,http://aidsinfo.unaids.org/,,,
Australia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,http://aidsinfo.unaids.org/,,,
Austria,,,,,,,,0.062296539501987,0.075939275469597,0.093191758071214,0.109169818118121,0.133408338465849,0.161050749181038,0.186107742669804,0.216832011226538,0.238657644034734,0.275640889246523,0.31195128916893,0.351011991780025,0.388488597252657,0.402658817178743,0.441225135125198,0.467765538186409,,,,http://www.unaids.org/en/resources/campaigns/globalreport2013/globalreport,,,
Azerbaijan,,,,,,,,,0.02545,0.031632,0.039732,0.047515,0.055008,0.06219,0.071116,0.07987,0.090379,0.10172,0.112904,0.125176,0.13943,0.152539,0.168266,0.184329,0.207822,,http://aidsinfo.unaids.org/,PLHIV 15+ / population 15-49,,
Bahamas,1.6,1.8,2,2.3,2.5,2.7,2.8,2.9,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,http://aidsinfo.unaids.org/,,,
Bangladesh,,,,,,,,,,,0.001644,0.002179,0.002965,0.003846,0.004818,0.005751,0.006532,0.007419,0.008282,0.009001,0.0097,0.010129,0.010437,0.010626,0.0107,0.010662,http://aidsinfo.unaids.org/,Estimated PLHIV (adult) / Population (15-49),,
